Word,WordType,Response,Correct,ResponseTime
ALARDIO,Nonword,n,1,1.05047429993283
SEDA,Real,y,1,0.7639482000377029
LAUD,Real,n,0,0.9328268999233842
ABRACER,Nonword,y,0,0.8755874000489712
YACER,Real,y,1,1.3437510998919606
MERODEAR,Real,n,0,1.1910132999764755
PELLIZCAR,Real,n,0,1.4371624999912456
BESAR,Real,y,1,0.8124962999718264
PANDILLA,Real,y,1,0.7858829000033438
PÉSIMO,Real,y,1,0.8348601999459788
GRANUJA,Real,y,1,1.1669159999582916
ANTAR,Nonword,n,1,1.7327013000613078
CARTINAR,Nonword,n,1,1.1668943000258878
PRISA,Real,n,0,1.0393996000057086
MUSGO,Real,n,0,0.8585533000295982
ROMPIDO,Nonword,n,1,1.0864694999763742
FRONDOSO,Real,y,1,0.8922276999801397
GANAR,Real,y,1,1.0535284000216052
ATAR,Real,y,1,1.7668255999451503
CLAVEL,Real,n,0,1.0350355999544263
ARSA,Nonword,y,0,0.6362884000409395
ASESINATO,Real,y,1,1.0796513999812305
HACHA,Real,y,1,0.7649063999997452
FLOROSO,Nonword,n,1,1.0700348999816924
NEVAR,Real,n,0,0.7435391000472009
ACANTILADO,Real,y,1,0.9512702999636531
PAUCA,Nonword,n,1,0.6690634000115097
FOMENTAR,Real,y,1,1.3648863000562415
ÁVIDO,Real,y,1,0.7733448999933898
CABELLO,Real,n,0,1.6853681999491528
HELAR,Real,n,0,1.4329163000220433
BIZCOCHO,Real,y,1,1.0675814000423998
BRECEDAD,Nonword,y,0,1.5745948000112548
CANEFA,Real,n,0,1.4254617999540642
FLACO,Real,n,0,0.7064808999421075
ACUTACIÓN,Nonword,y,0,0.6410138999344781
AVISO,Real,n,0,0.6611044999444857
CAMISA,Real,y,1,0.5494078000774607
MARTILLO,Real,y,1,0.6715963999740779
CANELA,Real,n,0,0.8642964999889955
BARATO,Real,y,1,1.253955699969083
ZAPATO,Real,y,1,0.949617899954319
ORGULLOSO,Real,n,0,1.1081312999594957
POZO,Real,n,0,0.8418406000128016
ESTORNUDAR,Real,y,1,0.6924163999501616
CADEÑA,Nonword,y,0,0.7825579999480397
HORMIGA,Real,n,0,1.0000741999829188
GRODO,Nonword,n,1,0.7036184000317007
CINTRO,Nonword,y,0,0.7168440000386909
TIBURÓN,Real,y,1,0.8282382000470534
CUCHARA,Real,y,1,1.2139130000723526
BISAGRA,Real,n,0,0.6145339000504464
JILGUERO,Real,n,0,0.8603658000938594
TERGIVERSAR,Real,y,1,0.7739832000806928
LACAYO,Real,n,0,0.696357199922204
TORPE,Real,y,1,0.7166344000725076
EMPIRADOR,Nonword,y,0,0.7654607000295073
POLVORIENTO,Real,y,1,1.377028299961239
TACAÑO,Real,y,1,0.820968099986203
LÁTIGO,Real,y,1,1.3116664999397472
FLAMIDA,Nonword,y,0,1.4018786000087857
TERZO,Nonword,y,0,1.1152886999771
GUANTE,Real,n,0,0.7098504999885336
YUNQUE,Real,n,0,0.7037972999969497
ALFOMBRA,Real,y,1,1.4060278000542894
PLAUDIR,Nonword,n,1,1.4689858999336138
REBUSCAR,Real,y,1,0.6245383999776095
ALEGRE,Real,y,1,0.6288907000562176
CADALLO,Nonword,y,0,0.6759384999750182
MATAR,Real,y,1,1.1170476999832317
PEMICIÓN,Nonword,n,1,1.7143576999660581
LAMPERA,Nonword,n,1,1.1039680000394583
ESCUTO,Nonword,n,1,1.0437333000591025
HERVIDOR,Real,y,1,0.8065586000448093
LADRÓN,Real,y,1,0.9197903999593109
DECAR,Nonword,y,0,0.9591737000737339
TEMBLO,Nonword,n,1,0.6553904000902548
ENGATUSAR,Real,y,1,0.5335660999407992
BATILLÓN,Nonword,y,0,0.534402500023134
REGAR,Real,y,1,0.6999548999592662
FATACIDAD,Nonword,n,1,0.8883471998851746
HACIDO,Nonword,y,0,0.5900691000279039
PULMONES,Real,y,1,0.7662692000158131
ESPOSANTE,Nonword,n,1,0.9235926000401378
TROPAJE,Nonword,y,0,0.7264693001052365
LORO,Real,y,1,1.345120699959807
VEGADA,Nonword,y,0,1.2720927000045776
CAPILLO,Nonword,y,0,0.760393200092949
CANDADO,Real,n,0,1.112150999950245
SECUESTRO,Real,y,1,0.7658797999611124
