Word,WordType,Response,Correct,ResponseTime
CLAVEL,Real,n,0,2.4964929580455646
PULMONES,Real,y,1,1.8552840000484139
HACHA,Real,n,0,2.2299085410195403
ACANTILADO,Real,y,1,1.2646509580081329
VEGADA,Nonword,y,0,1.1430700839846395
ACUTACIÓN,Nonword,y,0,1.8568519580294378
CANELA,Real,n,0,1.7650738750235178
HACIDO,Nonword,y,0,1.018345708027482
MUSGO,Real,n,0,1.5713710419950075
ALFOMBRA,Real,y,1,1.3908534160000272
NEVAR,Real,y,1,2.7772527909837663
REGAR,Real,n,0,1.208395583962556
LACAYO,Real,y,1,1.2742133340216242
ASESINATO,Real,y,1,1.4458553749718703
YUNQUE,Real,n,0,1.2964847090188414
ALEGRE,Real,y,1,1.3694024999858811
YACER,Real,n,0,1.212824374961201
CANEFA,Real,n,0,1.2796344160451554
ROMPIDO,Nonword,y,0,1.912380709021818
ABRACER,Nonword,y,0,1.184392208000645
BATILLÓN,Nonword,y,0,1.2651406669756398
MARTILLO,Real,y,1,1.0758797919843346
PANDILLA,Real,n,0,1.2978622910450213
TORPE,Real,n,0,1.2894735830486752
BIZCOCHO,Real,n,0,4.543010207999032
MERODEAR,Real,n,0,1.3129149589804001
POZO,Real,n,0,2.1562184580252506
HELAR,Real,y,1,1.3024231249582954
GRODO,Nonword,y,0,0.9525112499832176
ESPOSANTE,Nonword,y,0,1.1210244170506485
MATAR,Real,y,1,1.3012831670348532
BRECEDAD,Nonword,y,0,1.9320318340323865
ALARDIO,Nonword,y,0,1.5303101660101674
CINTRO,Nonword,y,0,1.0558225840213709
CAMISA,Real,y,1,2.69154804100981
FLAMIDA,Nonword,y,0,1.1296405000030063
CABELLO,Real,y,1,0.9164857499999925
BESAR,Real,y,1,1.8310511669842526
TERGIVERSAR,Real,y,1,2.5571983329718933
POLVORIENTO,Real,y,1,1.4312716670101508
CADEÑA,Nonword,y,0,1.1410392500110902
TERZO,Nonword,y,0,2.214959125034511
FLOROSO,Nonword,n,1,1.4703679590020329
PLAUDIR,Nonword,n,1,7.83371866698144
TEMBLO,Nonword,n,1,1.6557919159531593
ESTORNUDAR,Real,y,1,1.2211765830288641
FRONDOSO,Real,y,1,2.9949030419811606
JILGUERO,Real,y,1,1.1677195410011336
LAUD,Real,n,0,1.1183438749867491
ÁVIDO,Real,y,1,0.9867225420312025
GANAR,Real,n,0,1.2350055419956334
SECUESTRO,Real,y,1,2.1018185000284575
LADRÓN,Real,y,1,4.496796958963387
LORO,Real,y,1,0.899827292014379
FLACO,Real,n,0,1.3656581660034135
AVISO,Real,y,1,2.09494583302876
ATAR,Real,n,0,1.9724222910008393
FATACIDAD,Nonword,y,0,0.9901751669822261
TACAÑO,Real,y,1,1.0436422909842804
TROPAJE,Nonword,y,0,4.929975083039608
HORMIGA,Real,y,1,1.225133416999597
REBUSCAR,Real,n,0,1.3055650410242379
CADALLO,Nonword,y,0,0.9474787500221282
EMPIRADOR,Nonword,y,0,1.3786378749646246
CANDADO,Real,y,1,1.798742500017397
ARSA,Nonword,n,1,1.0277541250106879
GRANUJA,Real,y,1,1.1679798749973997
CARTINAR,Nonword,n,1,5.28937950002728
BISAGRA,Real,y,1,2.855536666989792
ESCUTO,Nonword,y,0,1.312397041998338
GUANTE,Real,n,0,1.4048174999770708
ANTAR,Nonword,n,1,1.7330821250216104
PÉSIMO,Real,y,1,1.636827791982796
HERVIDOR,Real,y,1,1.0156252090237103
BARATO,Real,y,1,3.944499499979429
LAMPERA,Nonword,n,1,8.208920083998237
LÁTIGO,Real,y,1,0.9799266670015641
ORGULLOSO,Real,y,1,1.2164123330148868
FOMENTAR,Real,y,1,1.4839644999592565
PEMICIÓN,Nonword,y,0,1.2915733340196311
CUCHARA,Real,n,0,2.3599164580227807
ZAPATO,Real,y,1,1.3833212909521535
CAPILLO,Nonword,y,0,1.101817957998719
TIBURÓN,Real,y,1,1.198265207989607
PRISA,Real,n,0,2.086954291036818
ENGATUSAR,Real,y,1,1.2281712080002762
DECAR,Nonword,y,0,1.1530799169559032
PAUCA,Nonword,n,1,1.1686305840266868
PELLIZCAR,Real,n,0,2.2614045839873143
SEDA,Real,n,0,1.4037982919835486
